Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,Effort
25.0,150.0,75.0,60.0,1.0,1750.0,1750.0,102.4
193.0,98.0,70.0,36.0,1.0,1902.0,1902.0,105.2
70.0,27.0,0.0,12.0,0.8,535.0,428.0,11.1
40.0,60.0,20.0,12.0,1.15,660.0,759.0,21.1
10.0,69.0,1.0,9.0,0.9,478.89,431.0,28.8
13.0,19.0,0.0,23.0,0.75,377.33,283.0,10.0
34.0,14.0,0.0,5.0,0.8,256.25,205.0,8.0
17.0,17.0,15.0,5.0,1.1,262.73,289.0,4.9
45.0,64.0,14.0,16.0,0.95,715.79,680.0,12.9
40.0,60.0,20.0,15.0,1.15,690.43,794.0,19.0
41.0,27.0,29.0,5.0,1.1,465.45,512.0,10.8
33.0,17.0,8.0,5.0,0.75,298.67,224.0,2.9
28.0,41.0,16.0,11.0,0.85,490.59,417.0,7.5
43.0,40.0,20.0,35.0,0.85,802.35,682.0,12.0
7.0,12.0,13.0,8.0,0.95,220.0,209.0,4.1
28.0,38.0,24.0,9.0,1.05,487.62,512.0,15.8
42.0,57.0,12.0,5.0,1.1,550.91,606.0,18.3
27.0,20.0,24.0,6.0,1.1,363.64,400.0,8.9
48.0,66.0,13.0,50.0,1.15,1073.91,1235.0,38.1
69.0,112.0,21.0,39.0,1.2,1310.0,1572.0,61.2
25.0,28.0,4.0,22.0,1.05,476.19,500.0,3.6
61.0,68.0,0.0,11.0,1.0,694.0,694.0,11.8
15.0,15.0,6.0,3.0,1.05,189.52,199.0,0.5
12.0,15.0,0.0,15.0,0.95,273.68,260.0,6.1
