ID,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,MM
b'A1',44.2,24.0,26.0,41.0,246.0,642.0,589.0,59.5
b'A2',59.0,34.0,30.0,28.0,651.0,447.0,1143.0,85.0
b'A3',36.9,9.0,36.0,29.0,193.0,694.0,995.0,31.5
b'B1',39.3,27.0,10.0,52.0,389.0,105.0,2344.0,58.9
b'B2',48.3,21.0,22.0,20.0,241.0,371.0,2052.0,58.9
b'B3',43.1,7.0,56.0,32.0,113.0,906.0,1816.0,67.3
b'C1',9.7,3.0,9.0,9.0,206.0,194.0,553.0,8.2
b'C2',13.7,12.0,8.0,12.0,214.0,266.0,496.0,13.9
b'C3',59.7,32.0,39.0,13.0,330.0,1189.0,477.0,36.0
b'D1',84.4,61.0,38.0,24.0,898.0,675.0,1313.0,89.5
b'D2',56.5,37.0,19.0,18.0,411.0,238.0,521.0,39.5
b'D3',42.1,31.0,11.0,12.0,299.0,62.0,433.0,27.5
b'E1',84.6,26.0,34.0,22.0,106.0,635.0,482.0,103.5
b'E2',390.0,150.0,72.0,62.0,1531.0,861.0,1832.0,212.0
b'F1',55.8,47.0,7.0,38.0,1577.0,339.0,941.0,48.0
b'G1',59.8,57.0,36.0,31.0,1191.0,569.0,1041.0,18.0
b'G2',68.9,49.0,29.0,35.0,1523.0,1148.0,1333.0,43.8
b'G3',8.6,6.0,3.0,10.0,128.0,47.0,115.0,7.1
b'H1',22.3,0.0,20.0,22.0,0.0,433.0,777.0,20.6
b'H2',79.1,34.0,51.0,35.0,665.0,1211.0,1169.0,32.7
b'I1',13.7,3.0,7.0,2.0,57.0,105.0,163.0,9.0
b'I2',7.8,2.0,9.0,3.0,55.0,285.0,57.0,7.5
b'J1',42.1,36.0,13.0,6.0,461.0,286.0,83.0,37.2
b'J2',46.6,29.0,10.0,9.0,125.0,283.0,338.0,59.1
b'J3',86.1,16.0,19.0,39.0,357.0,432.0,873.0,54.0
b'K1',72.1,21.0,17.0,18.0,647.0,581.0,971.0,37.1
b'K2',272.7,68.0,50.0,47.0,2113.0,1336.0,1744.0,157.0
b'K3',130.6,38.0,44.0,10.0,1247.0,1566.0,498.0,39.0
b'L1',192.2,132.0,18.0,100.0,1776.0,426.0,3800.0,170.0
b'L2',31.5,14.0,3.0,16.0,395.0,135.0,717.0,37.0
b'L3',226.1,26.0,76.0,70.0,360.0,1200.0,1832.0,340.0
b'M1',417.6,281.0,91.0,370.0,3000.0,1100.0,45000.0,1586.0
b'N1',20.2,9.0,4.0,7.0,258.0,73.0,167.0,29.0
b'N2',19.1,0.0,16.0,10.0,0.0,346.0,354.0,36.9
b'N3',31.2,31.0,2.0,13.0,394.0,45.0,388.0,37.0
b'N4',23.7,11.0,9.0,6.0,553.0,309.0,265.0,23.0
b'O1',43.0,23.0,12.0,41.0,397.0,426.0,1135.0,52.0
b'O2',20.2,25.0,5.0,25.0,206.0,66.0,598.0,22.0
b'P1',54.6,12.0,11.0,25.0,115.0,187.0,1070.0,42.3
b'P2',37.5,14.0,14.0,23.0,315.0,185.0,609.0,34.3
b'P3',64.1,10.0,10.0,59.0,186.0,167.0,1569.0,55.7
b'P4',49.2,0.0,16.0,53.0,0.0,236.0,1488.0,39.0
b'Q1',50.8,71.0,13.0,50.0,590.0,255.0,660.0,120.0
b'Q2',17.1,5.0,16.0,37.0,62.0,403.0,872.0,6.0
b'R1',6.9,0.0,0.0,28.0,0.0,0.0,1338.0,5.6
b'R2',25.2,8.0,9.0,6.0,99.0,143.0,955.0,20.1
b'S1',55.0,14.0,24.0,47.0,202.0,504.0,932.0,31.5
b'T1',35.1,51.0,0.0,6.0,347.0,0.0,122.0,50.1
